type,quality,fixed acidity,volatile acidity,citric acid,pH,sulphates,alcohol
white,6,6.2,0.15,0.49,3.3,0.7,9.4
white,6,6.7,0.25,0.74,3.51,0.45,9.8
white,6,6.5,0.26,0.74,3.18,0.54,9.5
white,5,7.9,0.16,0.74,2.99,0.41,9.3
white,6,5.6,0.185,0.49,3.55,0.45,10.3
white,5,7.5,0.2,0.49,3.06,0.62,11.1
white,5,8,0.3,0.49,3.14,0.48,10
white,8,8,0.34,0.49,3.13,0.38,12.3
white,8,7.7,0.35,0.49,3.14,0.38,12.4
white,7,7.6,0.29,0.49,3.13,0.38,12.3
white,5,6.7,0.62,0.24,3.41,0.32,10.4
white,7,6.8,0.27,0.49,3.13,0.48,12.1
white,6,7.7,0.27,0.49,3.16,0.42,12.5
white,6,6.7,0.51,0.24,3.22,0.6,13
white,7,7.4,0.19,0.49,2.99,0.32,11
white,5,8.3,0.2,0.49,3.05,0.37,10.1
white,5,6.6,0.3,0.24,3.13,0.36,9.2
white,7,6.8,0.36,0.24,3.27,0.34,12.6
white,8,7,0.17,0.74,3.26,0.38,12.2
white,7,9.2,0.18,0.49,3.04,0.49,9.8
white,6,8.1,0.2,0.49,3.1,0.52,11
white,6,7.8,0.26,0.74,3.22,0.64,10
white,6,6.8,0.21,0.49,3.55,0.44,9.8
white,5,7.9,0.2,0.49,3.16,0.47,10.5
white,5,8,0.18,0.49,3.23,0.48,10
white,6,8.8,0.23,0.74,3.02,0.51,11.2
white,7,7.3,0.22,0.49,2.99,0.32,11
white,6,7.3,0.22,0.49,3.01,0.28,11.2
white,7,7.4,0.19,0.49,2.99,0.32,11
white,6,7.3,0.155,0.49,3.14,0.77,10.5
white,6,8.2,0.22,0.49,3.02,0.33,10.6
white,6,8.2,0.24,0.49,3.02,0.33,10.6
white,6,8.4,0.23,0.49,3.04,0.34,12
white,5,8.3,0.2,0.49,3.05,0.37,10.1
white,6,8.3,0.2,0.49,3.05,0.37,10.1
white,5,6.6,0.3,0.24,3.13,0.36,9.2
white,5,6.9,0.21,0.49,3.25,0.63,11
white,6,8,0.25,0.49,3.34,0.49,10
white,6,6.6,0.21,0.49,3.28,0.39,8.7
white,5,7.2,0.27,0.74,3.04,0.44,8.7
white,6,14.2,0.27,0.49,3.15,0.54,11.1
white,6,7.9,0.28,0.49,3.04,0.55,11
white,6,7.4,0.27,0.49,3.15,0.54,11.1
white,6,6.6,0.21,0.49,3.28,0.39,8.7
white,5,7.2,0.27,0.74,3.04,0.44,8.7
white,7,8.1,0.3,0.49,3.1,0.3,11.2
white,7,7.5,0.23,0.49,3.14,0.3,11.1
white,6,7.3,0.26,0.49,3.24,0.54,10.8
white,6,7.1,0.18,0.74,3.38,0.67,9
white,6,8.5,0.15,0.49,3.03,0.4,10.3
white,5,8.9,0.13,0.49,2.91,0.32,9.9
white,6,8.1,0.28,0.49,3.13,0.41,10
white,6,6,0.17,0.49,3.21,0.42,9.8
white,6,7.3,0.26,0.49,3.24,0.54,10.8
white,6,7.1,0.18,0.74,3.38,0.67,9
white,4,7.1,0.53,0.24,3.16,0.32,9.1
white,6,7.2,0.16,0.49,3.23,0.57,10.6
white,6,7.3,0.14,0.49,3.2,0.72,10.6
white,5,8.9,0.13,0.49,2.91,0.32,9.9
white,6,7.9,0.12,0.49,3.18,0.47,10.6
white,6,6.7,0.29,0.49,3.13,0.45,9.9
white,6,6.7,0.3,0.49,3.12,0.45,9.9
white,6,7.1,0.36,0.24,3.34,0.59,12.8
white,6,8.5,0.15,0.49,3.03,0.4,10.3
white,6,7.9,0.18,0.49,3.18,0.48,10.6
white,6,6.6,0.19,0.99,3.09,0.31,8.7
white,7,7.3,0.21,0.49,3.32,0.44,12.6
white,7,6.9,0.3,0.49,3.43,0.63,11
white,7,7.9,0.42,0.49,3.29,0.6,11.2
white,7,6.9,0.24,0.49,3.45,0.57,10.7
white,6,7.6,0.23,0.49,3.08,0.58,9.6
white,6,7.9,0.18,0.49,3.18,0.48,10.6
white,4,6.2,0.43,0.49,3.27,0.57,9
white,4,8.8,0.35,0.49,2.96,0.33,10.5
white,6,7.8,0.3,0.74,3.29,0.52,12.8
white,5,9.1,0.28,0.49,3.15,0.46,10.1
white,7,7.1,0.34,0.49,3.3,0.33,12.2
white,6,7.8,0.3,0.74,3.29,0.52,12.8
white,5,9.1,0.28,0.49,3.15,0.46,10.1
white,6,8.5,0.19,0.49,3.14,0.51,10.1
white,5,7.6,0.18,0.49,3.06,0.41,9.2
white,5,7.5,0.19,0.49,3.33,0.44,9.9
white,6,7.4,0.3,0.49,3.52,0.58,9.7
white,5,6.7,0.3,0.74,3.21,0.46,9.9
white,5,6.6,0.3,0.74,3.21,0.45,9.9
white,6,7.4,0.3,0.49,3.52,0.58,9.7
white,6,6.9,0.22,0.49,3.54,0.5,10.3
white,5,7.8,0.26,0.49,3.16,0.35,10.3
white,4,8.5,0.17,0.49,2.88,0.34,10.5
white,6,6.8,0.17,0.74,3.63,0.76,10.5
white,6,6.2,0.27,0.49,3.32,0.44,9.8
white,4,7.1,0.64,0.49,3.31,0.58,10.6
white,5,6.4,0.18,0.74,3.58,0.68,10.1
white,4,7.6,0.31,0.49,3.22,0.53,9
white,5,9.8,0.31,0.49,3.18,0.45,9.5
white,6,9,0.3,0.49,2.94,0.32,11.5
white,7,8.4,0.24,0.49,3.03,0.33,11.9
white,5,6.4,0.18,0.74,3.58,0.68,10.1
white,6,6.4,0.25,0.74,3.21,0.42,9.2
white,5,7.3,0.3,0.74,3.02,0.4,8.7
white,5,9.3,0.31,0.49,3.11,0.46,9.8
white,6,6.4,0.25,0.74,3.21,0.42,9.2
white,5,7.3,0.3,0.74,3.02,0.4,8.7
white,6,7,0.27,0.74,3.35,0.48,11.2
white,6,7.9,0.14,0.74,3.08,0.82,12.3
white,6,6.4,0.12,0.49,3.34,0.44,10.4
white,6,6.8,0.21,0.74,3.13,0.41,10.7
white,6,8.6,0.16,0.49,3.13,0.59,10.5
white,6,7,0.29,0.49,2.95,0.4,9.4
white,6,6.4,0.27,0.49,3.24,0.43,9.2
white,5,6.6,0.55,0.01,3.15,0.3,11.9
white,6,6.4,0.27,0.49,3.24,0.43,9.2
white,6,6.3,0.24,0.74,3.27,0.39,9.9
white,6,6.7,0.33,0.49,3.11,0.5,11.4
white,6,7,0.29,0.49,2.95,0.4,9.4
white,6,8.2,0.34,0.49,3.08,0.52,10.7
white,5,5.6,0.39,0.24,3.28,0.36,12.7
white,7,5.6,0.41,0.24,3.32,0.5,13.5
white,5,6.7,0.41,0.01,3.24,0.35,9.5
white,9,7.1,0.26,0.49,3.37,0.42,12.9
white,6,7.5,0.32,0.49,3.07,0.46,12.5
white,7,5.8,0.19,0.49,3.34,0.38,9.5
white,5,6.9,0.27,0.49,2.98,0.47,8.6
white,7,8.1,0.2,0.49,3.09,0.46,10
white,6,7.5,0.32,0.49,3.07,0.46,12.5
white,6,8.2,0.26,0.49,3.12,0.34,10.1
white,7,7.8,0.26,0.49,3.03,0.32,11.3
white,7,8,0.14,0.49,3.26,0.4,10.6
white,5,8,0.29,0.49,3.14,0.34,10.8
white,6,7.5,0.19,0.49,3.4,0.47,10.7
white,6,6.9,0.34,0.49,3.09,0.4,9
white,6,6.2,0.2,0.49,3.22,0.52,9.2
white,6,6.4,0.37,0.49,3.14,0.48,8.5
white,8,6.2,0.22,0.49,3.41,0.36,11.3
white,7,7.8,0.26,0.49,3.03,0.32,11.3
white,5,8.9,0.32,0.49,3.13,0.34,9.4
white,6,6.5,0.44,0.49,3.11,0.37,8.7
white,6,7,0.14,0.49,3.36,0.36,9.4
white,7,9,0.17,0.49,3.09,0.51,10.5
white,6,6.4,0.26,0.49,3.38,0.53,9.7
white,6,9,0.22,0.49,3.31,0.44,10.2
white,5,8.9,0.32,0.49,3.13,0.34,9.4
white,6,8.2,0.2,0.49,3.19,0.35,11.5
white,6,7.8,0.15,0.24,2.94,0.31,9.6
white,5,6.9,0.25,0.24,3.23,0.7,11.4
white,6,8.2,0.2,0.49,3.19,0.35,11.5
white,8,7.1,0.28,0.49,3.41,0.58,12.2
white,7,7.4,0.19,0.49,3.2,0.38,11
white,6,8.3,0.25,0.49,3.03,0.52,9.2
white,6,7.5,0.14,0.74,3.26,0.45,10.2
white,5,7.8,0.49,0.49,3.21,0.33,10
white,6,8.1,0.12,0.49,3.13,0.48,9.7
white,5,7.6,0.47,0.49,2.96,0.51,9.2
white,5,7.9,0.22,0.49,3.1,0.39,10.5
white,5,7.8,0.49,0.49,3.21,0.33,10
white,6,6.4,0.22,0.49,3.27,0.52,10.1
white,7,7.3,0.19,0.49,3.42,0.36,9.1
white,7,8.1,0.3,0.49,3.09,0.57,10.2
white,7,7.3,0.19,0.49,3.42,0.36,9.1
white,7,7.5,0.24,0.49,3.17,0.59,10.5
white,6,6.4,0.22,0.49,3.27,0.52,10.1
white,7,7.8,0.21,0.49,3.05,0.28,12.1
white,5,7.1,0.3,0.49,3.4,0.59,10.2
white,4,6.9,0.26,0.49,3.65,0.52,9.4
white,7,7.6,0.31,0.49,3.08,0.67,12.8
white,6,6.4,0.42,0.74,3.12,0.58,9
white,4,8.2,0.29,0.49,3.24,0.36,10.9
white,6,7.9,0.33,0.28,3.15,0.38,8.8
white,5,6.6,0.46,0.49,3.11,0.38,9
white,5,7.8,0.28,0.49,3.09,0.59,10.2
white,5,5.8,0.15,0.49,3.19,0.48,9.2
white,6,7.8,0.4,0.49,3.26,0.58,11.3
white,5,6.6,0.31,0.49,3.12,0.45,8.8
white,5,6.6,0.325,0.49,3.16,0.4,9.3
white,6,6.6,0.27,0.49,3.17,0.45,9.4
white,6,6.7,0.26,0.49,3.23,0.4,10.3
white,7,6.7,0.21,0.49,2.92,0.42,10.8
white,6,7.9,0.33,0.28,3.15,0.38,8.8
white,4,8.1,0.28,0.46,3.27,0.58,9
white,8,6.5,0.13,0.37,3.41,0.51,11.5
white,5,7.8,0.445,0.56,3.25,0.43,10.8
white,6,8.8,0.39,0.34,2.95,0.51,11.8
white,7,7.9,0.18,0.33,3.12,0.38,10.5
white,6,7.1,0.31,0.38,3.14,0.44,9.9
white,6,7.8,0.24,0.18,3.2,0.56,9.8
white,7,7,0.35,0.3,3.4,0.42,11.4
white,5,6.6,0.26,0.31,3.2,0.38,9.3
white,5,6.6,0.27,0.31,3.2,0.38,9.3
white,6,6.8,0.22,0.29,3.3,0.44,10.3
white,5,6.2,0.27,0.32,3.17,0.47,8.9
white,7,7,0.35,0.3,3.4,0.42,11.4
white,6,7.3,0.23,0.37,3.11,0.35,11.1
white,6,6.2,0.3,0.2,3.36,0.45,10.4
white,5,6.4,0.35,0.2,3.33,0.43,10.1
white,5,7.6,0.32,0.34,3.22,0.55,9
white,6,6.3,0.31,0.3,3.74,0.55,11.9
white,7,7.2,0.25,0.28,3.12,0.38,9
white,7,7.2,0.25,0.28,3.12,0.38,9
white,7,7.3,0.26,0.33,3.06,0.44,9.1
white,7,7.2,0.25,0.28,3.12,0.38,9
white,5,7.4,0.26,0.37,3.46,0.72,10
white,7,7.3,0.26,0.33,3.06,0.44,9.1
white,3,6.7,0.25,0.26,3.55,0.63,9.4
white,6,7.1,0.16,0.25,3.27,0.55,11.4
white,4,9,0.43,0.3,3.11,0.45,9.7
white,7,7.2,0.25,0.28,3.12,0.38,9
white,6,7,0.24,0.3,3.28,0.49,11.8
white,5,6.7,0.265,0.22,3.25,0.41,10.2
white,6,7.7,0.12,0.32,3.37,0.42,9.2
white,6,7.2,0.21,0.33,3.25,0.4,11
white,6,8.5,0.32,0.36,3.08,0.31,10
white,6,6.9,0.18,0.3,3.32,0.37,12.2
white,6,7,0.24,0.3,3.28,0.49,11.8
white,6,6.3,0.26,0.29,3.38,0.43,11.6
white,6,6.7,0.26,0.3,3.44,0.61,10.2
white,5,7.9,0.29,0.36,3.14,0.46,10.3
white,4,6.5,0.27,0.19,3.25,0.35,8.6
white,5,6.7,0.33,0.42,3.16,0.44,9.6
white,5,6.7,0.31,0.42,3.16,0.45,9.6
white,6,6.6,0.25,0.31,3.41,0.47,11.3
white,6,6.4,0.24,0.22,3.41,0.55,9.9
white,5,6.8,0.26,0.29,3.45,0.4,9.6
white,4,7,0.61,0.26,3.36,0.6,10.6
white,5,6.8,0.22,0.3,3.44,0.39,9.8
white,5,8.1,0.31,0.24,3.08,0.47,10.5
white,5,7,0.2,0.3,3.24,0.51,10.8
white,6,7.9,0.18,0.37,3.22,0.51,10
white,6,6.6,0.34,0.27,3.3,0.49,10.1
white,5,6.8,0.3,0.24,3.07,0.48,9.4
white,8,6.5,0.18,0.34,3.32,0.59,11.5
white,6,7,0.21,0.31,3.26,0.5,10.8
white,6,6.8,0.27,0.32,3.1,0.43,9.9
white,4,9.3,0.2,0.33,3.16,0.43,9
white,6,5.8,0.23,0.27,3.38,0.31,9.4
white,7,7.6,0.2,0.39,3.46,0.44,10.8
white,7,8.2,0.15,0.48,3.5,0.45,10.9
white,6,7.5,0.4,1,3.24,0.38,12
white,8,6.5,0.18,0.34,3.32,0.59,11.5
white,6,7,0.13,0.3,3.47,0.42,10.5
white,6,6.9,0.17,0.22,3.29,0.37,9.3
white,6,7,0.3,0.32,3.23,0.44,11.8
white,6,7.6,0.445,0.44,3.48,0.36,10
white,5,6.8,0.3,0.24,3.07,0.48,9.4
white,6,7.5,0.22,0.33,3.2,0.68,11.4
white,6,9.2,0.23,0.3,2.94,0.3,10.4
white,6,8.7,0.34,0.46,3.36,0.37,9.5
white,5,6.6,0.545,0.04,3.14,0.32,11.9
white,6,8.1,0.3,0.31,2.99,0.45,11.1
white,6,6.9,0.16,0.3,3.39,0.38,9.6
white,6,8,0.32,0.36,3.29,0.47,12
white,5,6.1,0.22,0.23,3.14,0.42,8.7
white,6,6.9,0.16,0.3,3.39,0.38,9.6
white,5,7.5,0.15,0.38,3.24,0.44,10
white,4,8.4,0.29,0.29,2.91,0.32,11.4
white,6,6.6,0.37,0.47,3.14,0.45,9.6
white,6,7.7,0.38,0.4,3.18,0.32,12.9
white,6,6.3,0.25,0.23,3.14,0.35,9.7
white,6,8.3,0.3,0.36,3.23,0.51,9.3
white,5,6.6,0.22,0.58,3.1,0.3,9.1
white,5,6.1,0.34,0.31,3.16,0.48,8.6
white,5,7.5,0.22,0.29,3.14,0.42,9.9
white,6,8.3,0.3,0.36,3.23,0.51,9.3
white,5,8,0.27,0.24,3.28,0.42,10.9
white,6,6.1,0.17,0.27,3.2,0.43,10.2
white,6,7.4,0.18,0.3,3.11,0.57,9.7
white,7,6.7,0.16,0.28,3.38,0.51,11.4
white,6,6.1,0.255,0.44,3.24,0.54,9.5
white,7,7.4,0.23,0.25,3.42,0.54,10.2
white,6,6.4,0.16,0.28,3.31,0.43,11.1
white,6,6.3,0.25,0.23,3.14,0.35,9.7
white,5,6.7,0.27,0.25,3.22,0.43,9.3
white,5,6.9,0.29,0.23,3.17,0.44,8.8
white,5,9.6,0.21,0.28,2.8,0.46,10.6
white,5,6.6,0.62,0.2,3.17,0.44,9.3
white,6,6.4,0.28,0.19,3.31,0.35,10.2
white,6,8,0.3,0.28,3.16,0.51,10.2
white,7,6.4,0.17,0.27,3.46,0.42,11
white,6,7.3,0.21,0.3,3.4,0.5,9.6
white,5,6.7,0.27,0.25,3.22,0.43,9.3
white,5,6.9,0.29,0.23,3.17,0.44,8.8
white,5,6.6,0.32,0.26,3.17,0.45,8.8
white,5,7.4,0.32,0.22,3.28,0.69,8.9
white,5,6.6,0.37,0.07,3.17,0.38,10
white,7,7.7,0.43,0.28,3.16,0.56,12.2
white,6,7.8,0.39,0.26,3.04,0.42,10.9
white,6,6.5,0.18,0.26,3.34,0.72,9.5
white,6,7.8,0.4,0.26,3.04,0.43,10.9
white,6,7.8,0.39,0.26,3.04,0.42,10.9
white,6,6.9,0.19,0.28,3.16,0.4,10.8
white,6,7.7,0.49,1,3.24,0.4,12
white,5,6.6,0.25,0.35,3.56,0.47,9.8
white,6,6.5,0.18,0.26,3.34,0.72,9.5
white,8,6.4,0.15,0.36,3.42,0.69,11
white,8,6.4,0.15,0.36,3.42,0.69,11
white,5,8.4,0.17,0.31,3.24,0.38,9.8
white,4,6.1,0.32,0.37,3.49,0.44,10.5
white,6,8.5,0.21,0.26,3.05,0.37,11.4
white,6,8.7,0.45,0.4,3.27,0.57,10.1
white,7,6.7,0.24,0.29,3.33,0.46,11.6
white,6,8.5,0.21,0.26,3.05,0.37,11.4
white,7,7.4,0.33,0.26,3.07,0.52,11.8
white,7,7.2,0.26,0.3,3.33,0.43,12.1
white,5,8.2,0.36,0.29,3.16,0.34,12
white,7,7.8,0.2,0.24,3.08,0.74,12.1
white,5,9.4,0.16,0.3,3.15,0.46,9.1
white,5,6.4,0.33,0.24,3.36,0.5,9.3
white,6,7.8,0.22,0.36,3.2,0.53,10.4
white,5,7.4,0.35,0.31,3.27,0.64,9.1
white,5,6.6,0.37,0.24,3.32,0.54,9.4
white,6,6.7,0.37,0.41,3.16,0.47,9.6
white,5,7.1,0.37,0.32,3.19,0.62,12
white,8,6.9,0.25,0.27,3.27,0.34,11.3
white,6,6.8,0.23,0.29,3.06,0.41,8.7
white,6,6.4,0.26,0.21,3.39,0.58,9.9
white,6,7.6,0.3,0.22,3.08,0.4,9.3
white,5,9.4,0.16,0.23,3.07,0.32,9.5
white,6,6.8,0.23,0.29,3.06,0.41,8.7
white,6,6.4,0.26,0.21,3.39,0.58,9.9
white,6,7.6,0.3,0.22,3.08,0.4,9.3
white,5,7.5,0.33,0.39,3.16,0.39,9.4
white,5,7.6,0.38,0.2,3.15,0.41,9.4
white,6,8.8,0.2,0.43,3.28,0.79,8.8
white,5,7.5,0.33,0.39,3.16,0.39,9.4
white,6,8.8,0.2,0.43,3.28,0.79,8.8
white,6,6.6,0.36,0.21,3.18,0.41,9.9
white,5,7.6,0.38,0.2,3.15,0.41,9.4
white,6,5.6,0.46,0.24,3.29,0.37,12.6
white,6,7.2,0.15,0.38,3.19,0.43,11.1
white,7,8.2,0.42,0.29,3,0.32,12.8
white,6,6.8,0.3,0.35,3.09,0.53,12
white,7,6.7,0.27,0.3,3.36,0.5,12
white,4,7.2,0.5,0,3.19,0.34,9.2
white,6,6,0.26,0.29,3.38,0.44,12.3
white,6,6.8,0.33,0.28,3.19,0.41,13
white,6,6.8,0.3,0.35,3.09,0.53,12
white,5,7.4,0.29,0.31,3.07,0.38,10.9
white,7,8.2,0.42,0.29,3,0.32,12.8
white,6,7.3,0.19,0.24,3.36,0.54,10
white,5,6.5,0.32,0.12,3.22,0.32,9
white,5,7.1,0.32,0.4,3.42,0.6,10.4
white,5,6.5,0.32,0.12,3.22,0.32,9
white,6,7.3,0.19,0.24,3.36,0.54,10
white,6,7.3,0.17,0.23,3.36,0.54,10
white,7,7.7,0.44,0.24,3.12,0.43,11.3
white,7,7.7,0.44,0.24,3.12,0.43,11.3
white,7,7.4,0.49,0.24,3.13,0.51,12
white,7,7.7,0.44,0.24,3.12,0.43,11.3
white,7,7.4,0.49,0.24,3.13,0.51,12
white,6,6.4,0.21,0.3,3.6,0.41,10.6
white,5,8,0.55,0.42,2.99,0.56,9.3
white,6,7,0.19,0.23,3.04,0.54,9.4
white,7,7.2,0.24,0.29,3.27,0.64,11
white,6,6.5,0.34,0.36,3.44,0.55,9.3
white,6,7,0.19,0.23,3.04,0.54,9.4
white,5,6.9,0.18,0.33,3.42,0.51,10.5
white,7,7.2,0.24,0.29,3.27,0.64,11
white,6,8.2,0.18,0.31,3.07,0.52,9.5
white,6,8.3,0.28,0.45,3.33,0.77,11.2
white,6,6.1,0.34,0.46,3.29,0.62,12.3
white,5,7.4,0.44,0.2,3.27,0.44,9
white,5,7.6,0.26,0.58,3.07,0.38,9
white,5,7.4,0.44,0.2,3.27,0.44,9
white,5,8.7,0.49,0.57,2.98,0.82,9
white,6,7,0.24,0.25,3.25,0.42,11.4
white,7,7.1,0.25,0.25,3.2,0.42,11
white,6,6.1,0.34,0.46,3.29,0.62,12.3
white,7,6.4,0.18,0.31,3.6,0.67,10.4
white,5,8.3,0.27,0.39,3.28,0.59,10.3
white,7,6.8,0.24,0.35,3.29,0.55,10.5
white,6,8,0.22,0.28,3.14,0.45,9.8
white,4,10,0.91,0.42,3.11,0.46,10
white,5,8.9,0.34,0.34,3.14,0.47,9.7
white,5,8.9,0.33,0.34,3.13,0.47,9.7
white,6,8,0.22,0.28,3.14,0.45,9.8
white,6,6.7,0.18,0.19,3.32,0.66,10.5
white,6,7.8,0.2,0.28,3.14,0.46,10
white,7,7.3,0.13,0.31,3.24,0.92,11.5
white,5,6.6,0.28,0.3,3.24,0.39,9.5
white,6,7.1,0.25,0.3,3.43,0.61,10.5
white,6,7.6,0.36,0.44,3.12,0.43,10.2
white,6,7.6,0.27,0.25,3.34,0.5,9.8
white,6,6.9,0.37,0.28,3.1,0.37,11.6
white,7,7.4,0.21,0.27,3.15,0.38,11.8
white,7,8.2,0.18,0.28,3.04,0.37,10.1
white,6,6.3,0.19,0.21,3.31,0.5,10.3
white,6,7,0.21,0.22,3.34,0.49,10.4
white,5,5.8,0.33,0.2,3.09,0.46,8.9
white,5,5.8,0.33,0.2,3.09,0.46,8.9
white,5,7.9,0.29,0.31,3.06,0.31,10.8
white,5,6.6,0.31,0.38,3.38,0.6,9.2
white,6,8,0.19,0.3,3.18,0.49,9.6
white,6,8,0.2,0.36,3.08,0.37,10.4
white,6,8,0.25,0.26,3.03,0.57,8.7
white,6,7.2,0.2,0.61,3.06,0.36,9.2
white,5,7.7,0.3,0.42,3.18,0.63,9.2
white,6,7.2,0.2,0.61,3.06,0.36,9.2
white,5,7.7,0.3,0.42,3.18,0.63,9.2
white,5,7.7,0.3,0.42,3.18,0.63,9.2
white,5,6.4,0.22,0.32,3.4,0.39,10.2
white,6,7.2,0.2,0.61,3.06,0.36,9.2
white,5,7,0.53,0.02,3.2,0.32,9
white,5,7.3,0.24,0.41,3.37,0.43,9.7
white,5,7.2,0.24,0.4,3.34,0.42,9.6
white,5,7.6,0.15,0.4,3.14,0.76,10
white,5,7.7,0.3,0.42,3.18,0.63,9.2
white,5,7.6,0.33,0.41,3.18,0.64,9.1
white,5,6.8,0.24,0.31,3.3,0.41,8.7
white,5,6.8,0.24,0.31,3.3,0.41,8.7
white,5,6.8,0.35,0.44,3.14,0.44,9.5
white,6,7.9,0.26,0.33,2.93,0.49,9.5
white,6,7.5,0.29,0.67,2.9,0.41,8.9
white,6,7.5,0.29,0.67,2.9,0.41,8.9
white,6,7.2,0.31,0.41,3.29,0.64,9.9
white,7,6.7,0.44,0.31,3.29,0.62,12.6
white,6,10,0.23,0.27,2.72,0.43,9.7
white,5,7.4,0.21,0.3,2.96,0.34,10.4
white,6,8.8,0.23,0.35,2.93,0.49,9.1
white,5,7.8,0.34,0.27,3.01,0.55,10.4
white,6,7.9,0.26,0.33,2.93,0.49,9.5
white,6,7.5,0.29,0.67,2.9,0.41,8.9
white,5,6,0.28,0.35,3.16,0.69,10.6
white,7,7.9,0.37,0.3,3.12,0.59,12
white,7,7.2,0.36,0.36,2.93,0.59,12.5
white,5,7.6,0.13,0.34,3.21,0.39,9.6
white,5,6.6,0.25,0.36,3.08,0.42,9.2
white,6,7.1,0.18,0.26,3.04,0.74,9.9
white,6,7.9,0.3,0.27,2.96,0.46,11.7
white,6,8.3,0.23,0.3,3.09,0.5,9.6
white,6,6.8,0.43,0.3,3,0.37,12
white,7,7.2,0.36,0.36,2.93,0.59,12.5
white,5,6.6,0.25,0.36,3.08,0.42,9.2
white,6,7.1,0.18,0.26,3.04,0.74,9.9
white,6,6.6,0.35,0.29,3.17,0.58,8.9
white,6,7.3,0.22,0.5,3.24,0.66,9
white,7,8.1,0.26,0.33,3.03,0.49,10.2
white,5,7.6,0.13,0.34,3.21,0.39,9.6
white,5,7,0.12,0.19,3.29,0.41,9.4
white,5,8.2,0.37,0.27,2.97,0.48,10.4
white,4,7.6,0.26,0.36,3.15,0.4,10.4
white,6,6.3,0.2,0.58,3.16,0.43,10
white,6,6.3,0.22,0.57,3.16,0.43,10
white,5,7.1,0.25,0.28,3.05,0.41,10.5
white,6,7,0.27,0.32,3.23,0.39,11.4
white,5,8.8,0.34,0.33,3.08,0.4,10.2
white,6,9.2,0.27,0.34,3.04,0.41,10.4
white,3,7.1,0.49,0.22,3.24,0.37,11
white,6,9.2,0.71,0.23,2.89,0.34,10.1
white,5,7.2,0.47,0.65,3,0.35,9.2
white,6,6.8,0.28,0.36,3.23,0.66,10.3
white,5,8.8,0.34,0.33,3.08,0.4,10.2
white,6,9.2,0.27,0.34,3.04,0.41,10.4
white,7,7.3,0.13,0.27,3.23,0.39,11.1
white,5,7.2,0.16,0.35,3.33,0.34,9.9
white,5,6.8,0.31,0.32,3.14,0.38,9
white,5,8.3,0.36,0.57,2.93,0.64,8.6
white,5,6.8,0.31,0.32,3.14,0.38,9
white,5,8.3,0.36,0.57,2.93,0.64,8.6
white,5,6.3,0.25,0.44,3.18,0.52,9.5
white,5,6,0.45,0.42,3.02,0.4,9
white,6,8.1,0.26,0.3,2.99,0.58,10
white,6,6.4,0.22,0.32,3.6,0.43,9
white,5,5.7,0.45,0.42,3.02,0.4,9
white,7,7.2,0.19,0.31,3.34,0.57,10.2
white,5,6.7,0.31,0.44,3.04,0.44,9.6
white,5,8,0.25,0.13,2.96,0.46,9.7
white,4,9.9,1.005,0.46,3.02,0.49,10.2
white,7,8.1,0.31,0.36,3.01,0.34,13
white,6,8.1,0.24,0.38,3.37,0.74,10.8
white,5,8,0.25,0.13,2.96,0.46,9.7
white,5,6.4,0.29,0.28,2.89,0.57,9
white,5,7.2,0.15,0.33,3.37,0.4,9.9
white,6,7,0.12,0.32,3.29,0.38,9.2
white,6,7.4,0.32,0.55,2.96,0.58,8.7
white,5,8.5,0.17,0.31,2.79,0.37,10.1
white,5,8.5,0.17,0.31,2.79,0.37,10.1
white,5,9.5,0.21,0.47,2.9,0.64,9.5
white,5,8.2,0.21,0.48,3.17,0.57,9.9
white,6,7.4,0.32,0.55,2.96,0.58,8.7
white,5,6.8,0.31,0.42,3.19,0.46,9
white,6,6.8,0.27,0.28,3.03,0.38,8.6
white,6,7.4,0.21,0.3,3.12,0.35,10.5
white,7,8,0.23,0.35,3.09,0.56,9.5
white,6,7.6,0.2,0.31,3.43,0.53,10.1
white,7,6.3,0.41,0.3,3.53,0.79,11.7
white,6,8.3,0.49,0.43,3.23,0.47,10.7
white,7,6.3,0.41,0.3,3.53,0.79,11.7
white,5,7.6,0.2,0.26,3.15,0.42,9.2
white,5,7.5,0.26,0.26,3.17,0.39,8.8
white,5,7.5,0.26,0.26,3.17,0.39,8.8
white,6,6.8,0.27,0.35,3.24,0.43,9.5
white,5,6.8,0.28,0.37,3.57,0.55,10.2
white,6,8.4,0.2,0.27,3.25,0.5,9.1
white,6,7.9,0.33,0.26,3.19,0.54,10.5
white,6,7.5,0.38,0.5,3.09,0.46,9
white,8,7.6,0.2,0.3,3.14,0.46,8.9
white,8,7.6,0.2,0.3,3.14,0.46,8.9
white,8,7.6,0.2,0.3,3.14,0.46,8.9
white,8,7.6,0.2,0.3,3.14,0.46,8.9
white,8,7.6,0.2,0.3,3.14,0.46,8.9
white,6,8.1,0.19,0.58,3.2,0.62,9.1
white,6,7.6,0.16,0.41,3.2,0.53,10.1
white,5,8.1,0.22,0.28,3.12,0.55,10
white,6,8,0.22,0.32,3.11,0.53,9.5
white,7,7.1,0.33,0.3,3.08,0.31,12.3
white,4,6.4,0.43,0.27,3.24,0.52,9.1
white,8,7.6,0.2,0.3,3.14,0.46,8.9
white,5,7,0.12,0.28,3.5,0.44,9.6
white,6,7.4,0.3,0.22,3.13,0.45,11.6
white,6,7,0.28,0.33,3.34,0.67,8.8
